elements,configuration,The system as described above has its greatest application in an arrayed configuration of antenna elements.,0
child,cradle,The child was carefully wrapped and bound into the cradle by means of a cord.,0
disassembler,author,The author of a keygen uses a disassembler to look at the raw assembly code.,0
ridge,surge,A misty ridge uprises from the surge.,0
student,association,The student association is the voice of the undergraduate student population of the State University of New York at Buffalo.,0
complex,producer,This is the sprawling complex that is Peru's largest producer of silver.,0
infection,inflammation,The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.,1
People,downtown,People have been moving back into downtown.,0
lawsonite,platinum crucible,The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces.,0
solvent,flask,The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial.,0
essays,volume,The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel's scholarly career.,0
composer,oblivion,Their composer has sunk into oblivion.,0
citation,reasons,The Pulitzer Committee issues an official citation explaining the reasons for the award.,0
pressure,burst,The burst has been caused by water hammer pressure.,1
high-definition broadcast,networks,Even commercial networks have moved into high-definition broadcast.,0
call,bill,It was a friendly call to remind them about the bill and make sure they have a copy of the invoice.,0
instrument,virtuoso,"Texas-born virtuoso finds harmony, sophistication in Appalachian instrument.",0
trays,factory,"The factory's products have included flower pots, Finnish rooster-whistles, pans, trays, tea pots, ash trays and air moisturisers.",0
blossom,tree,The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley.,0
grenadiers,battalion,"They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a battalion of Panzer grenadiers.",0
knowledge,recruits,"Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.",0
hounds,stable,She soon had a stable of her own rescued hounds.,0
singer,commotion,"The singer, who performed three of the nominated songs, also caused a commotion on the red carpet.",1
essays,history,His intellectually engaging books and essays remain pertinent to illuminating contemporary history.,0
grouse,brace,"Poor hygiene controls, reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.",0
dress,blend,"This sweet dress is made with a blend of cotton and silk, and the crochet flower necklace is the perfect accessory.",0
Suicide,death,"Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.",1
article,music,"This article gives details on 2004 in music in the United Kingdom, including the official charts from that year.",0
meeting,rural history,We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history.,0
timer,device,"The timer of the device automatically eliminates wasted standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets.""",0
phone call,offer,Bob Parks made a similar offer in a phone call made earlier this week.,0
mold,headaches,He had chest pains and headaches from mold in the bedrooms.,1
country,father,The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the country's founding father.,0
stack,carton,It describes a method for loading a horizontal stack of containers into a carton.,0
plumbing,manor house,The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond.,0
electricity,systems,The technology is available to produce and transmit electricity economically from OTEC systems.,0
plan,resistance,The Medicare buy-in plan ran into Senate resistance.,0
counties,provinces,"The provinces are divided into counties (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).",0
stress,divorce,Financial stress is one of the main causes of divorce.,1
